ZIP,Earthquake_Risk_Score,Earthquake_Risk_Explanation,Flood_Control_District,Wildfire_Hazard_Level,Flood_Risk_Score,Flood_Risk_Explanation,Wildfire_Risk_Score,Wildfire_Risk_Explanation
94502,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94577,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94579,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94603,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Moderate,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",5,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Moderate). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94605,8,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 0.5 to 1 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94621,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94501,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",8,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94606,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94607,3,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 5 to 10 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Urban Unzoned,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",1,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Urban Unzoned). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
94610,5,"Legacy ZIP fallback ranking signal based only on an approximate ZIP-centroid distance to loaded fault traces (about 1 to 5 km). This does not determine fault-zone membership, shaking, building damage, exposure, or safety at an address.",X,Very High,2,"Legacy ZIP fallback ranking signal based on the dominant loaded FEMA mapped category intersecting the ZIP (X). This is not an address-point, parcel, exposure, insurance, or safety determination; flooding outside mapped areas may still occur.",10,"Legacy ZIP fallback ranking signal based on the highest loaded CAL FIRE category intersecting the ZIP (Very High). This does not establish address-level zone membership or rule out wildfire, smoke, ember, evacuation, power-shutoff, or road impacts."
